English,Ukrainian
"When the rabbit came home, he heard that someone was in his house.","От прибігає зайчик, коли чує – хтось є в хатці."
"The rabbit asked: ""Tell me, please, who is in my house?""","Зайчик і питається: – А хто, хто в моїй хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза сидить на печі та й каже: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
"The rabbit got so scared that he ran from his house, sat under a big oak tree, and began to cry.","От зайчик злякавсь, вибіг з хатки, сів під дубком. Сидить та й плаче."
"Along came a bear and asked, Why are you crying, little rabbit?","Коли йде ведмідь та й питається: – Чого ти, зайчику-побігайчику, плачеш?"
"""How can I not cry when there's a terrible beast in my house?"", replied the rabbit.","Як же мені, ведмедику, не плакати, коли в моїй хатці звір страшний сидить!"
"The bear said, ""Don't you worry, little rabbit, I will chase it away!""",А ведмідь: – От я його вижену!
The bear went to the rabbit's house and asked: Who is hiding in the rabbit's house?,"Побіг до хатки: – А хто, хто в зайчиковій хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза з печі: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
This frightened the bear.,Ведмідь і злякався.
"He ran back to the rabbit and said, ""I'm sorry, little rabbit, I can't chase that beast away I'm scared!""","Ні, – каже, – зайчику-побігайчику, не вижену – боюсь."
"So the rabbit sat back down under the oak tree and cried, when along came a wolf and asked, ""Why are you crying, little rabbit?""","От і знов пішов зайчик, сів під дубком та й плаче. Коли йде вовк і питається: – А чого це ти, зайчику-побігайчику, плачеш?"
"""How can I not cry, Brother-Wolf, when there's a terrible beast in my house?"", replied the rabbit.","Як же мені, вовчику-братику, не плакати, коли в моїй хатці звір страшний сидить!"
"The wolf said, ""Don't you worry, little rabbit, I will chase it away!""",А вовк: – От я його вижену!
"How will you chase it away, if the bear tried and couldn't?","Де тобі його вигнати! Тут і ведмідь гнав, та не вигнав."
I will chase it away! You'll see!,"Отже, вижену!"
The wolf went to the rabbit's house and asked: Who is hiding in the rabbit's house?,"Побіг вовк до хатки та й питається: – А хто, хто в зайчиковій хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза з печі: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
"This frightened the wolf. He ran back to the rabbit and said, ""“I’m sorry, little rabbit, I can’t chase that beast away – I’m scared!”""","Вовк і злякався. – Ні, – каже, – зайчику-побігайчику, не вижену – боюсь."
"So the rabbit sat down under the oak tree and cried once more, when along came a fox and asked, ""Why are you crying little rabbit?""","Зайчик ізнов пішов, сів під дубком та й плаче. Коли біжить лисичка, побачила зайчика та й питається: – А чого ти, зайчику-побігайчику, плачеш?"
"""How can I not cry when there's a terrible beast in my house?"", replied the rabbit.","– Як же мені, лисичко-сестричко, не плакати, коли в моїй хатці страшний звір сидить!"
"The fox said, ""Don't you worry, little rabbit, I will chase it away!""",А лисичка: – От я його вижену!
"""How can you chase it away? The bear tried and he couldn't, then the wolf tried and he couldn't!""","Де тобі, лисичко, його вигнати! Тут і ведмідь гнав – не вигнав, і вовк гнав, та не вигнав, а то ти!"
I will chase it away! You will see!,Отже вижену!
"So the fox went to the rabbit's house and asked: ""Who is hiding in the rabbit's house?""","Побігла лисичка до хати та: – А хто, хто в зайчиковій хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза з печі: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
This frightened the fox.,От лисичка теж злякалась.
"She ran to the rabbit and said, ""I'm sorry, little rabbit, I can't chase that beast away I'm scared!""","Ні, – каже, – зайчику-побігайчику, не вижену – боюсь."
"Once again the rabbit sat down under the oak tree and cried and cried, when along came a crab and asked, ""Why are you crying little rabbit?""","Пішов зайчик, сів під дубком та й знову плаче. Коли це лізе рак-неборак та й питається: – Чого ти, зайчику-побігайчику, плачеш?"
“How can I not cry when there’s a terrible beast in my house?” replied the rabbit.,"Як же мені не плакати, коли в моїй хатці страшний звір сидить!"
"The crab said, “Don’t you worry, little rabbit, I’ll chase it away!”",А рак: – От я його вижену!
"“How will you chase it away? The bear tried – and he couldn’t, the wolf tried – and he couldn’t, the fox tried – and she couldn’t!”","Де тобі його вигнати! Тут ведмідь гнав, та не вигнав, і вовк гнав, та не вигнав, і лисиця гнала, та не вигнала, а то ти!"
“I’ll chase it away! You’ll see!”,Отже вижену!
"So the crab crawled to the rabbit's house and asked: ""Who is hiding in the rabbit's house?""","От поліз рак у хатку та й питається: – А хто, хто в зайчиковій хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза з печі: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
"But the crab crawled into the house, crawled onto the oven, and said: ""I am a crab, I will chase you out! I will pinch you till you scream and shout!""","А рак усе лізе та лізе, виліз на піч та: – А я рак-неборак, Як ущипну, – буде знак!"
And then the crab pinched the bully goat very hard pinch! pinch! pinch!,Та як ущипне козу клешнями!..
"The goat cried B-a-a-a-a-a! She jumped off the oven, leaped through the door, and ran so fast that no one ever saw her again!","Коза як замекає, та з печі, та з хати – побігла, тільки видно!"
The rabbit was so very happy that he thanked the crab again and again!,"От зайчик радий, прийшов у хатку та так уже ракові дякує!"
Then he returned to his house and lived happily ever after.,Та й став жити в своїй хатці!
Oh: The Tsar of the Forest,Ох!
"Once upon a time, long long ago, beyond the times that we can call to mind, ere yet our great-grandfathers or their grandfathers had been born into the world, there lived a poor man and his wife, and they had one only son, who was not as an only son ought to be to his old father and mother. So idle and lazy was that only son that Heaven help him!","Колись-то давно, не з моєї пам'яті, мабуть, ще й батьків і дідів наших не було на світі, жив собі убогий чоловік з жінкою, а у них був одним один син, та й той не такий як треба: таке ледащо той одинчик, що господи!"
"He would do nothing, he would not even fetch water from the well, but lay on the stove all day long and rolled among the warm cinders.","Нізащо і за холодну воду не візьметься, а все тільки на печі сидить та просцем пересипається."
"If they gave him anything to eat, he ate it; and if they didn’t give him anything to eat, he did wiyout.","Як подадуть їсти, то й їсть, а не подадуть, то й так обходиться..."
"His father and mother fretted sorely because of him, and said, “What are we to do with you, son? Other people’s children are a stay and a support to their parents, but you only eat our bread and help nothing!”","Батько й мати журяться: Що нам з тобою, сину, робить? Чужі діти своїм батькам у поміч стають, а ти тільки дурно у нас хліб переводиш!"
But it was of no use at all. He would do nothing but sit on the stove and play with the cinders.,Так йому не до того; сидить та просцем пересипається
"So his father and mother grieved over him for many a long day, and at last his mother said to his father, “What is to be done with our son? Even yough he has grown up and yet is of no use to us, and he is so foolish that we can do nothing with him. Look now, if we can send him away, let us send him away; if we can hire him out, let us hire him out; perchance other folk may be able to do more with him than we can.”","Журились-журились батько з матір'ю, а далі мати й каже: — Що ти таки, старий, думаєш з ним, що вже він зросту дійшов, а така недотепа — нічого робить не вміє? Ти б його куди оддав, куди найняв, то, може б, його чужі люди чому вивчили."
"So his father and mother laid their heads together, and sent him to a tailor’s to learn tailoring.","Порадились, батько і оддав його у кравці вчитись."
"There he remained three days, but then he ran away home, climbed up on the stove, and again began playing with the cinders.",От він там побув день зо три та й утік; заліз на піч — знов просцем пересипається.
"His father then gave him a sound drubbing and sent him to a cobbler’s to learn cobbling, but again he ran away home.","Батько його побив добре, вилаяв, оддав до шевця шевству вчитись. Так він і звідтіля втік. "
His father gave him another drubbing and sent him to a blacksmith to learn smith’s work. ,Батько знов його побив і оддав ковальству вчитись. Так і там не побув довго — втік. Батько бідкається — що робить?
"But there too he did not remain long, but ran away home again, so what was that poor father to do?",Так і там не побув довго — втік. Батько бідкається — що робить?
"I’ll tell you what I’ll do with you, you son of a dog!” said he. “I’ll take you, you lazy lout, into another kingdom. There, perchance, they will be able to teach you better than they can here, and it will be too far for you to run home.” So he took him and set out on his journey.","Поведу,— каже,— вражого сина ледащо у інше царство; де найму, то найму, може, він відтіля не втече.— Взяв його і повів."
"They went on and on, they went a short way and they went a long way, and at last they came to a forest so dark that they could see neither earth nor sky.","Йдуть та йдуть, чи довго, чи недовго, аж увійшли у такий темний ліс, що тільки небо та земля."
"They went through this forest, but in a short time they grew very tired, and when they came to a path leading to a clearing full of large tree-stumps, the father said, “I am so tired out that I will rest here a little,” and with that he sat down on a tree-stump and cried, “Oh, how tired I am!” ","Увіходять у ліс, притомилися трохи; а там над стежкою стоїть обгорілий пеньок; батько й каже: — Притомився я, сяду, одпочину трохи. От сідає на пеньок та: — Ох! Як же я втомився! — каже."
